file,dcom,loc,0.2<dcom,0.2<%dcom,loc<200,%loc<200
\jfreechart-master\src/main/java/org/jfree/chart/date/MonthConstants.java,0.7692308,15,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/date/package-info.java,0.75,1,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/date/SerialDate.java,0.58528036,355,1,,0,
\jfreechart-master\src/main/java/org/jfree/chart/date/SpreadsheetDate.java,0.56790125,175,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/Drawable.java,0.8604651,6,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/encoders/EncoderUtil.java,0.7022472,53,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/encoders/ImageEncoder.java,0.86315787,13,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/encoders/ImageEncoderFactory.java,0.6363636,52,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/encoders/ImageFormat.java,0.88461536,6,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/encoders/package-info.java,0.75,1,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/encoders/SunJPEGEncoderAdapter.java,0.6217949,59,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/encoders/SunPNGEncoderAdapter.java,0.6923077,36,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/entity/AxisEntity.java,0.58638746,79,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/entity/CategoryItemEntity.java,0.62857145,65,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/entity/CategoryLabelEntity.java,0.61538464,45,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/entity/ChartEntity.java,0.51212937,181,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/entity/EntityCollection.java,0.86315787,13,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/entity/FlowEntity.java,0.63461536,38,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/entity/JFreeChartEntity.java,0.5842105,79,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/entity/LegendItemEntity.java,0.6363636,56,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/entity/NodeEntity.java,0.7386364,23,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/entity/package-info.java,0.75,1,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/entity/PieSectionEntity.java,0.6161137,81,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/entity/PlotEntity.java,0.5842105,79,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/entity/StandardEntityCollection.java,0.5473684,86,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/entity/TickLabelEntity.java,0.8245614,10,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/entity/TitleEntity.java,0.5842105,79,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/entity/XYAnnotationEntity.java,0.65346533,35,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/entity/XYItemEntity.java,0.63398695,56,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/event/AnnotationChangeEvent.java,0.7878788,14,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/event/AnnotationChangeListener.java,0.88,6,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/event/AxisChangeEvent.java,0.8064516,12,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/event/AxisChangeListener.java,0.90909094,5,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/event/ChartChangeEvent.java,0.70434785,34,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/event/ChartChangeEventType.java,0.87234044,6,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/event/ChartChangeListener.java,0.90384614,5,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/event/ChartProgressEvent.java,0.6956522,35,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/event/ChartProgressEventType.java,0.8888889,5,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/event/ChartProgressListener.java,0.8979592,5,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/event/MarkerChangeEvent.java,0.8095238,12,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/event/MarkerChangeListener.java,0.88,6,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/event/package-info.java,0.8333333,1,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/event/PlotChangeEvent.java,0.8125,12,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/event/PlotChangeListener.java,0.9,5,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/event/RendererChangeEvent.java,0.7816092,19,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/event/RendererChangeListener.java,0.8979592,5,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/event/TitleChangeEvent.java,0.8032787,12,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/event/TitleChangeListener.java,0.9,5,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/imagemap/DynamicDriveToolTipTagFragmentGenerator.java,0.76744187,20,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/imagemap/ImageMapUtils.java,0.48535565,123,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/imagemap/OverLIBToolTipTagFragmentGenerator.java,0.8115942,13,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/imagemap/package-info.java,0.75,1,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator.java,0.8153846,12,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/imagemap/StandardURLTagFragmentGenerator.java,0.8333333,11,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/imagemap/ToolTipTagFragmentGenerator.java,0.93442625,4,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/imagemap/URLTagFragmentGenerator.java,0.87096775,8,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/internal/Args.java,0.7017544,34,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/internal/ArrayUtils.java,0.43617022,106,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/internal/CloneUtils.java,0.48850575,89,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/internal/HashUtils.java,0.6614583,65,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/internal/LineUtils.java,0.4437086,84,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/internal/package-info.java,0.75,1,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/internal/PaintUtils.java,0.41791046,117,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/internal/SerialUtils.java,0.340694,418,1,,0,
\jfreechart-master\src/main/java/org/jfree/chart/internal/ShapeUtils.java,0.4642127,262,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/JFreeChart.java,0.48138297,780,1,,0,
\jfreechart-master\src/main/java/org/jfree/chart/labels/AbstractCategoryItemLabelGenerator.java,0.52797204,135,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/AbstractPieItemLabelGenerator.java,0.5164319,103,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/AbstractXYItemLabelGenerator.java,0.50793654,155,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/BoxAndWhiskerToolTipGenerator.java,0.60902256,52,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/BoxAndWhiskerXYToolTipGenerator.java,0.59859157,57,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/BubbleXYItemLabelGenerator.java,0.5247934,115,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/CategoryItemLabelGenerator.java,0.90909094,7,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/CategorySeriesLabelGenerator.java,0.91071427,5,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/CategoryToolTipGenerator.java,0.91803277,5,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/CrosshairLabelGenerator.java,0.9,5,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/CustomXYToolTipGenerator.java,0.5443787,77,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/FlowLabelGenerator.java,0.8888889,6,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/HighLowItemLabelGenerator.java,0.46464646,106,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/IntervalCategoryItemLabelGenerator.java,0.55737704,54,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/IntervalCategoryToolTipGenerator.java,0.5460993,64,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/IntervalXYItemLabelGenerator.java,0.48178136,128,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/IntervalXYToolTipGenerator.java,0.48971194,124,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/ItemLabelAnchor.java,0.6956522,28,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/ItemLabelPosition.java,0.5529412,76,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/MultipleXYSeriesLabelGenerator.java,0.4716981,112,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/package-info.java,0.75,1,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/PieSectionLabelGenerator.java,0.87058824,11,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/PieToolTipGenerator.java,0.9074074,5,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/StandardCategoryItemLabelGenerator.java,0.6466165,47,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/StandardCategorySeriesLabelGenerator.java,0.6041667,57,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/StandardCategoryToolTipGenerator.java,0.6386555,43,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/StandardCrosshairLabelGenerator.java,0.5839416,57,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/StandardFlowLabelGenerator.java,0.59130436,47,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/StandardPieSectionLabelGenerator.java,0.6304348,85,1,,1,
