file,dcom,lcom
\jfreechart-master\src/main/java/org/jfree/chart/entity/PieSectionEntity.java,0.6161137,81
\jfreechart-master\src/main/java/org/jfree/chart/entity/PlotEntity.java,0.5842105,79
\jfreechart-master\src/main/java/org/jfree/chart/entity/StandardEntityCollection.java,0.5473684,86
\jfreechart-master\src/main/java/org/jfree/chart/entity/TickLabelEntity.java,0.8245614,10
\jfreechart-master\src/main/java/org/jfree/chart/entity/TitleEntity.java,0.5842105,79
\jfreechart-master\src/main/java/org/jfree/chart/entity/XYAnnotationEntity.java,0.65346533,35
\jfreechart-master\src/main/java/org/jfree/chart/entity/XYItemEntity.java,0.63398695,56
\jfreechart-master\src/main/java/org/jfree/chart/event/AnnotationChangeEvent.java,0.7878788,14
\jfreechart-master\src/main/java/org/jfree/chart/event/AnnotationChangeListener.java,0.88,6
\jfreechart-master\src/main/java/org/jfree/chart/event/AxisChangeEvent.java,0.8064516,12
\jfreechart-master\src/main/java/org/jfree/chart/event/AxisChangeListener.java,0.90909094,5
\jfreechart-master\src/main/java/org/jfree/chart/event/ChartChangeEvent.java,0.70434785,34
\jfreechart-master\src/main/java/org/jfree/chart/event/ChartChangeEventType.java,0.87234044,6
\jfreechart-master\src/main/java/org/jfree/chart/event/ChartChangeListener.java,0.90384614,5
\jfreechart-master\src/main/java/org/jfree/chart/event/ChartProgressEvent.java,0.6956522,35
\jfreechart-master\src/main/java/org/jfree/chart/event/ChartProgressEventType.java,0.8888889,5
\jfreechart-master\src/main/java/org/jfree/chart/event/ChartProgressListener.java,0.8979592,5
\jfreechart-master\src/main/java/org/jfree/chart/event/MarkerChangeEvent.java,0.8095238,12
\jfreechart-master\src/main/java/org/jfree/chart/event/MarkerChangeListener.java,0.88,6
\jfreechart-master\src/main/java/org/jfree/chart/event/package-info.java,0.8333333,1
\jfreechart-master\src/main/java/org/jfree/chart/event/PlotChangeEvent.java,0.8125,12
\jfreechart-master\src/main/java/org/jfree/chart/event/PlotChangeListener.java,0.9,5
\jfreechart-master\src/main/java/org/jfree/chart/event/RendererChangeEvent.java,0.7816092,19
\jfreechart-master\src/main/java/org/jfree/chart/event/RendererChangeListener.java,0.8979592,5
\jfreechart-master\src/main/java/org/jfree/chart/event/TitleChangeEvent.java,0.8032787,12
\jfreechart-master\src/main/java/org/jfree/chart/event/TitleChangeListener.java,0.9,5
\jfreechart-master\src/main/java/org/jfree/chart/imagemap/DynamicDriveToolTipTagFragmentGenerator.java,0.76744187,20
\jfreechart-master\src/main/java/org/jfree/chart/imagemap/ImageMapUtils.java,0.48535565,123
\jfreechart-master\src/main/java/org/jfree/chart/imagemap/OverLIBToolTipTagFragmentGenerator.java,0.8115942,13
\jfreechart-master\src/main/java/org/jfree/chart/imagemap/package-info.java,0.75,1
\jfreechart-master\src/main/java/org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator.java,0.8153846,12
\jfreechart-master\src/main/java/org/jfree/chart/imagemap/StandardURLTagFragmentGenerator.java,0.8333333,11
\jfreechart-master\src/main/java/org/jfree/chart/imagemap/ToolTipTagFragmentGenerator.java,0.93442625,4
\jfreechart-master\src/main/java/org/jfree/chart/imagemap/URLTagFragmentGenerator.java,0.87096775,8
\jfreechart-master\src/main/java/org/jfree/chart/internal/Args.java,0.7017544,34
\jfreechart-master\src/main/java/org/jfree/chart/internal/ArrayUtils.java,0.43617022,106
\jfreechart-master\src/main/java/org/jfree/chart/internal/CloneUtils.java,0.48850575,89
\jfreechart-master\src/main/java/org/jfree/chart/internal/HashUtils.java,0.6614583,65
\jfreechart-master\src/main/java/org/jfree/chart/internal/LineUtils.java,0.4437086,84
\jfreechart-master\src/main/java/org/jfree/chart/internal/package-info.java,0.75,1
\jfreechart-master\src/main/java/org/jfree/chart/internal/PaintUtils.java,0.41791046,117
\jfreechart-master\src/main/java/org/jfree/chart/internal/SerialUtils.java,0.340694,418
\jfreechart-master\src/main/java/org/jfree/chart/internal/ShapeUtils.java,0.4642127,262
\jfreechart-master\src/main/java/org/jfree/chart/JFreeChart.java,0.48138297,780
\jfreechart-master\src/main/java/org/jfree/chart/labels/AbstractCategoryItemLabelGenerator.java,0.52797204,135
\jfreechart-master\src/main/java/org/jfree/chart/labels/AbstractPieItemLabelGenerator.java,0.5164319,103
\jfreechart-master\src/main/java/org/jfree/chart/labels/AbstractXYItemLabelGenerator.java,0.50793654,155
\jfreechart-master\src/main/java/org/jfree/chart/labels/BoxAndWhiskerToolTipGenerator.java,0.60902256,52
\jfreechart-master\src/main/java/org/jfree/chart/labels/BoxAndWhiskerXYToolTipGenerator.java,0.59859157,57
\jfreechart-master\src/main/java/org/jfree/chart/labels/BubbleXYItemLabelGenerator.java,0.5247934,115
\jfreechart-master\src/main/java/org/jfree/chart/labels/CategoryItemLabelGenerator.java,0.90909094,7
\jfreechart-master\src/main/java/org/jfree/chart/labels/CategorySeriesLabelGenerator.java,0.91071427,5
\jfreechart-master\src/main/java/org/jfree/chart/labels/CategoryToolTipGenerator.java,0.91803277,5
\jfreechart-master\src/main/java/org/jfree/chart/labels/CrosshairLabelGenerator.java,0.9,5
\jfreechart-master\src/main/java/org/jfree/chart/labels/CustomXYToolTipGenerator.java,0.5443787,77
\jfreechart-master\src/main/java/org/jfree/chart/labels/FlowLabelGenerator.java,0.8888889,6
\jfreechart-master\src/main/java/org/jfree/chart/labels/HighLowItemLabelGenerator.java,0.46464646,106
\jfreechart-master\src/main/java/org/jfree/chart/labels/IntervalCategoryItemLabelGenerator.java,0.55737704,54
\jfreechart-master\src/main/java/org/jfree/chart/labels/IntervalCategoryToolTipGenerator.java,0.5460993,64
\jfreechart-master\src/main/java/org/jfree/chart/labels/IntervalXYItemLabelGenerator.java,0.48178136,128
\jfreechart-master\src/main/java/org/jfree/chart/labels/IntervalXYToolTipGenerator.java,0.48971194,124
\jfreechart-master\src/main/java/org/jfree/chart/labels/ItemLabelAnchor.java,0.6956522,28
\jfreechart-master\src/main/java/org/jfree/chart/labels/ItemLabelPosition.java,0.5529412,76
\jfreechart-master\src/main/java/org/jfree/chart/labels/MultipleXYSeriesLabelGenerator.java,0.4716981,112
\jfreechart-master\src/main/java/org/jfree/chart/labels/package-info.java,0.75,1
\jfreechart-master\src/main/java/org/jfree/chart/labels/PieSectionLabelGenerator.java,0.87058824,11
\jfreechart-master\src/main/java/org/jfree/chart/labels/PieToolTipGenerator.java,0.9074074,5
\jfreechart-master\src/main/java/org/jfree/chart/labels/StandardCategoryItemLabelGenerator.java,0.6466165,47
\jfreechart-master\src/main/java/org/jfree/chart/labels/StandardCategorySeriesLabelGenerator.java,0.6041667,57
\jfreechart-master\src/main/java/org/jfree/chart/labels/StandardCategoryToolTipGenerator.java,0.6386555,43
\jfreechart-master\src/main/java/org/jfree/chart/labels/StandardCrosshairLabelGenerator.java,0.5839416,57
\jfreechart-master\src/main/java/org/jfree/chart/labels/StandardFlowLabelGenerator.java,0.59130436,47
\jfreechart-master\src/main/java/org/jfree/chart/labels/StandardPieSectionLabelGenerator.java,0.6304348,85
\jfreechart-master\src/main/java/org/jfree/chart/labels/StandardPieToolTipGenerator.java,0.7131783,37
\jfreechart-master\src/main/java/org/jfree/chart/labels/StandardXYItemLabelGenerator.java,0.6647399,58
\jfreechart-master\src/main/java/org/jfree/chart/labels/StandardXYSeriesLabelGenerator.java,0.615894,58
\jfreechart-master\src/main/java/org/jfree/chart/labels/StandardXYToolTipGenerator.java,0.66091955,59
\jfreechart-master\src/main/java/org/jfree/chart/labels/StandardXYZToolTipGenerator.java,0.5281385,109
\jfreechart-master\src/main/java/org/jfree/chart/labels/SymbolicXYItemLabelGenerator.java,0.55128205,70
\jfreechart-master\src/main/java/org/jfree/chart/labels/XYItemLabelGenerator.java,0.9074074,5
\jfreechart-master\src/main/java/org/jfree/chart/labels/XYSeriesLabelGenerator.java,0.9122807,5
\jfreechart-master\src/main/java/org/jfree/chart/labels/XYToolTipGenerator.java,0.9056604,5
\jfreechart-master\src/main/java/org/jfree/chart/labels/XYZToolTipGenerator.java,0.9056604,5
\jfreechart-master\src/main/java/org/jfree/chart/legend/LegendGraphic.java,0.51098096,334
\jfreechart-master\src/main/java/org/jfree/chart/legend/LegendItem.java,0.5584944,434
\jfreechart-master\src/main/java/org/jfree/chart/legend/LegendItemBlockContainer.java,0.59411764,69
\jfreechart-master\src/main/java/org/jfree/chart/legend/LegendItemCollection.java,0.6056338,56
\jfreechart-master\src/main/java/org/jfree/chart/legend/LegendItemSource.java,0.9,5
\jfreechart-master\src/main/java/org/jfree/chart/legend/LegendRenderingOrder.java,0.8888889,5
\jfreechart-master\src/main/java/org/jfree/chart/legend/LegendTitle.java,0.4376013,347
\jfreechart-master\src/main/java/org/jfree/chart/legend/package-info.java,0.75,1
\jfreechart-master\src/main/java/org/jfree/chart/legend/PaintScaleLegend.java,0.40785497,392
\jfreechart-master\src/main/java/org/jfree/chart/package-info.java,0.75,1
\jfreechart-master\src/main/java/org/jfree/chart/plot/CategoryCrosshairState.java,0.5923567,64
\jfreechart-master\src/main/java/org/jfree/chart/plot/CategoryMarker.java,0.6034483,69
\jfreechart-master\src/main/java/org/jfree/chart/plot/CategoryPlot.java,0.46606234,2415
\jfreechart-master\src/main/java/org/jfree/chart/plot/CenterTextMode.java,0.87234044,6
\jfreechart-master\src/main/java/org/jfree/chart/plot/CombinedDomainCategoryPlot.java,0.41598696,358
\jfreechart-master\src/main/java/org/jfree/chart/plot/CombinedDomainXYPlot.java,0.42691752,396
\jfreechart-master\src/main/java/org/jfree/chart/plot/CombinedRangeCategoryPlot.java,0.4038835,307
\jfreechart-master\src/main/java/org/jfree/chart/plot/CombinedRangeXYPlot.java,0.42569658,371
\jfreechart-master\src/main/java/org/jfree/chart/plot/compass/ArrowNeedle.java,0.5,78
\jfreechart-master\src/main/java/org/jfree/chart/plot/compass/CompassPlot.java,0.43556702,438
\jfreechart-master\src/main/java/org/jfree/chart/plot/compass/LineNeedle.java,0.6272727,41
\jfreechart-master\src/main/java/org/jfree/chart/plot/compass/LongNeedle.java,0.45962733,87
\jfreechart-master\src/main/java/org/jfree/chart/plot/compass/MeterNeedle.java,0.5265958,178
\jfreechart-master\src/main/java/org/jfree/chart/plot/compass/MiddlePinNeedle.java,0.5378788,61
\jfreechart-master\src/main/java/org/jfree/chart/plot/compass/package-info.java,0.75,1
\jfreechart-master\src/main/java/org/jfree/chart/plot/compass/PinNeedle.java,0.54615384,59
\jfreechart-master\src/main/java/org/jfree/chart/plot/compass/PlumNeedle.java,0.575,51
\jfreechart-master\src/main/java/org/jfree/chart/plot/compass/PointerNeedle.java,0.5,70
\jfreechart-master\src/main/java/org/jfree/chart/plot/compass/ShipNeedle.java,0.5882353,49
\jfreechart-master\src/main/java/org/jfree/chart/plot/compass/WindNeedle.java,0.58715594,45
\jfreechart-master\src/main/java/org/jfree/chart/plot/Crosshair.java,0.5578635,298
\jfreechart-master\src/main/java/org/jfree/chart/plot/CrosshairState.java,0.66358024,109
\jfreechart-master\src/main/java/org/jfree/chart/plot/DatasetRenderingOrder.java,0.9166667,5
\jfreechart-master\src/main/java/org/jfree/chart/plot/DefaultDrawingSupplier.java,0.4038877,276
\jfreechart-master\src/main/java/org/jfree/chart/plot/dial/AbstractDialLayer.java,0.6165803,74
\jfreechart-master\src/main/java/org/jfree/chart/plot/dial/ArcDialFrame.java,0.5117773,228
\jfreechart-master\src/main/java/org/jfree/chart/plot/dial/DialBackground.java,0.58677685,100
\jfreechart-master\src/main/java/org/jfree/chart/plot/dial/DialCap.java,0.5704918,131
\jfreechart-master\src/main/java/org/jfree/chart/plot/dial/DialFrame.java,0.88135594,7
\jfreechart-master\src/main/java/org/jfree/chart/plot/dial/DialLayer.java,0.8627451,14
\jfreechart-master\src/main/java/org/jfree/chart/plot/dial/DialLayerChangeEvent.java,0.8064516,12
\jfreechart-master\src/main/java/org/jfree/chart/plot/dial/DialLayerChangeListener.java,0.9019608,5
\jfreechart-master\src/main/java/org/jfree/chart/plot/dial/DialPlot.java,0.50398934,373
\jfreechart-master\src/main/java/org/jfree/chart/plot/dial/DialPointer.java,0.5035587,279
\jfreechart-master\src/main/java/org/jfree/chart/plot/dial/DialScale.java,0.9206349,5
\jfreechart-master\src/main/java/org/jfree/chart/plot/dial/DialTextAnnotation.java,0.5595568,159
\jfreechart-master\src/main/java/org/jfree/chart/plot/dial/DialValueIndicator.java,0.526087,327
\jfreechart-master\src/main/java/org/jfree/chart/plot/dial/package-info.java,0.75,1
\jfreechart-master\src/main/java/org/jfree/chart/plot/dial/StandardDialFrame.java,0.5372671,149
\jfreechart-master\src/main/java/org/jfree/chart/plot/dial/StandardDialRange.java,0.5370844,181
\jfreechart-master\src/main/java/org/jfree/chart/plot/dial/StandardDialScale.java,0.54575163,417
\jfreechart-master\src/main/java/org/jfree/chart/plot/DialShape.java,0.875,6
\jfreechart-master\src/main/java/org/jfree/chart/plot/DrawingSupplier.java,0.8636364,12
\jfreechart-master\src/main/java/org/jfree/chart/plot/FastScatterPlot.java,0.4794661,507
\jfreechart-master\src/main/java/org/jfree/chart/plot/flow/FlowPlot.java,0.397351,455
\jfreechart-master\src/main/java/org/jfree/chart/plot/flow/package-info.java,0.75,1
\jfreechart-master\src/main/java/org/jfree/chart/plot/IntervalMarker.java,0.5837563,82
\jfreechart-master\src/main/java/org/jfree/chart/plot/Marker.java,0.5555556,268
\jfreechart-master\src/main/java/org/jfree/chart/plot/MeterInterval.java,0.55050504,89
\jfreechart-master\src/main/java/org/jfree/chart/plot/MeterPlot.java,0.4471195,643
\jfreechart-master\src/main/java/org/jfree/chart/plot/package-info.java,0.75,1
\jfreechart-master\src/main/java/org/jfree/chart/plot/Pannable.java,0.8625,11
\jfreechart-master\src/main/java/org/jfree/chart/plot/pie/AbstractPieLabelDistributor.java,0.75,24
\jfreechart-master\src/main/java/org/jfree/chart/plot/pie/MultiplePiePlot.java,0.3815331,355
\jfreechart-master\src/main/java/org/jfree/chart/plot/pie/package-info.java,0.75,1
\jfreechart-master\src/main/java/org/jfree/chart/plot/pie/PieLabelDistributor.java,0.46464646,106
\jfreechart-master\src/main/java/org/jfree/chart/plot/pie/PieLabelLinkStyle.java,0.875,6
\jfreechart-master\src/main/java/org/jfree/chart/plot/pie/PieLabelRecord.java,0.5494071,114
\jfreechart-master\src/main/java/org/jfree/chart/plot/pie/PiePlot.java,0.47038686,1547
\jfreechart-master\src/main/java/org/jfree/chart/plot/pie/PiePlotState.java,0.6610879,81
\jfreechart-master\src/main/java/org/jfree/chart/plot/Plot.java,0.50265354,656
\jfreechart-master\src/main/java/org/jfree/chart/plot/PlotOrientation.java,0.83076924,11
\jfreechart-master\src/main/java/org/jfree/chart/plot/PlotRenderingInfo.java,0.5568182,117
\jfreechart-master\src/main/java/org/jfree/chart/plot/PlotState.java,0.7704918,14
\jfreechart-master\src/main/java/org/jfree/chart/plot/PolarAxisLocation.java,0.82258064,11
\jfreechart-master\src/main/java/org/jfree/chart/plot/PolarPlot.java,0.46333516,988
\jfreechart-master\src/main/java/org/jfree/chart/plot/RingPlot.java,0.47460318,331
\jfreechart-master\src/main/java/org/jfree/chart/plot/SeriesRenderingOrder.java,0.9137931,5
\jfreechart-master\src/main/java/org/jfree/chart/plot/SpiderWebPlot.java,0.47150663,677
\jfreechart-master\src/main/java/org/jfree/chart/plot/ThermometerPlot.java,0.47091413,764
\jfreechart-master\src/main/java/org/jfree/chart/plot/ValueAxisPlot.java,0.8867925,6
\jfreechart-master\src/main/java/org/jfree/chart/plot/ValueMarker.java,0.6814815,43
\jfreechart-master\src/main/java/org/jfree/chart/plot/WaferMapPlot.java,0.3907455,237
