file,dcom,lcom
\jfreechart-master\src/main/java/org/jfree/chart/block/AbstractBlock.java,0.557265,259
\jfreechart-master\src/main/java/org/jfree/chart/block/Arrangement.java,0.89705884,7
\jfreechart-master\src/main/java/org/jfree/chart/block/Block.java,0.8712871,13
\jfreechart-master\src/main/java/org/jfree/chart/block/BlockBorder.java,0.52803737,101
\jfreechart-master\src/main/java/org/jfree/chart/block/BlockContainer.java,0.503937,126
\jfreechart-master\src/main/java/org/jfree/chart/block/BlockFrame.java,0.85,9
\jfreechart-master\src/main/java/org/jfree/chart/block/BlockParams.java,0.76,30
\jfreechart-master\src/main/java/org/jfree/chart/block/BlockResult.java,0.7916667,15
\jfreechart-master\src/main/java/org/jfree/chart/block/BorderArrangement.java,0.25244617,382
\jfreechart-master\src/main/java/org/jfree/chart/block/CenterArrangement.java,0.53333336,140
\jfreechart-master\src/main/java/org/jfree/chart/block/ColorBlock.java,0.5885714,72
\jfreechart-master\src/main/java/org/jfree/chart/block/ColumnArrangement.java,0.41573033,208
\jfreechart-master\src/main/java/org/jfree/chart/block/EmptyBlock.java,0.7027027,33
\jfreechart-master\src/main/java/org/jfree/chart/block/EntityBlockParams.java,0.9259259,4
\jfreechart-master\src/main/java/org/jfree/chart/block/EntityBlockResult.java,0.9056604,5
\jfreechart-master\src/main/java/org/jfree/chart/block/FlowArrangement.java,0.43065694,234
\jfreechart-master\src/main/java/org/jfree/chart/block/GridArrangement.java,0.40686274,242
\jfreechart-master\src/main/java/org/jfree/chart/block/LabelBlock.java,0.53263706,179
\jfreechart-master\src/main/java/org/jfree/chart/block/LengthConstraintType.java,0.88461536,6
\jfreechart-master\src/main/java/org/jfree/chart/block/LineBorder.java,0.44859812,118
\jfreechart-master\src/main/java/org/jfree/chart/block/package-info.java,0.75,1
\jfreechart-master\src/main/java/org/jfree/chart/block/RectangleConstraint.java,0.534375,149
\jfreechart-master\src/main/java/org/jfree/chart/block/Size2D.java,0.60402685,59
\jfreechart-master\src/main/java/org/jfree/chart/ChartColor.java,0.5302013,70
\jfreechart-master\src/main/java/org/jfree/chart/ChartElement.java,0.9166667,4
\jfreechart-master\src/main/java/org/jfree/chart/ChartElementVisitor.java,0.9148936,4
\jfreechart-master\src/main/java/org/jfree/chart/ChartFactory.java,0.46524063,1000
\jfreechart-master\src/main/java/org/jfree/chart/ChartHints.java,0.7311828,25
\jfreechart-master\src/main/java/org/jfree/chart/ChartRenderingInfo.java,0.5800866,97
\jfreechart-master\src/main/java/org/jfree/chart/ChartTheme.java,0.92156863,4
\jfreechart-master\src/main/java/org/jfree/chart/ChartTransferable.java,0.5584416,102
\jfreechart-master\src/main/java/org/jfree/chart/ChartUtils.java,0.6269841,235
\jfreechart-master\src/main/java/org/jfree/chart/date/MonthConstants.java,0.7692308,15
\jfreechart-master\src/main/java/org/jfree/chart/date/package-info.java,0.75,1
\jfreechart-master\src/main/java/org/jfree/chart/date/SerialDate.java,0.58528036,355
\jfreechart-master\src/main/java/org/jfree/chart/date/SpreadsheetDate.java,0.56790125,175
